player_name,session_date,venue_soil_type,pressure_scenario,release_speed,release_angle,deviation_degrees,pitch_distance_from_stumps_m,bounce_height_m
Virat Kohli,2026-06-05,Wankhede Red Soil,High,103.56658568936372,14.577207428589276,0.07658942247039723,5.778904310375754,0.6966330049540795
Virat Kohli,2026-06-05,Eden Gardens Clay,High,107.18623835709862,14.910726193847301,-0.4253664977497549,8.156091127807835,0.5944004990932631
Virat Kohli,2026-06-05,Eden Gardens Clay,Low,118.95447076238898,8.034561391178705,0.725393188055157,6.318268094426669,0.5991057772127704
Virat Kohli,2026-06-05,Wankhede Red Soil,High,104.09429281845921,12.955592648871079,0.7616486855449953,2.25824433903184,0.9871716048389804
Virat Kohli,2026-06-05,Eden Gardens Clay,High,105.87746647044054,8.288733185704388,-0.782809784801372,3.4374718305052356,0.9597103653829834
Virat Kohli,2026-06-05,Eden Gardens Clay,High,107.51009375591427,14.038408083256611,0.7216485719604335,6.214690642038526,0.5035450818409678
Virat Kohli,2026-06-05,Chepauk Black Soil,Low,114.69522146785158,14.270106443529672,0.3108996981882576,5.740055488756377,0.5081885675273006
Virat Kohli,2026-06-05,Eden Gardens Clay,Low,101.62622917263401,13.720773332285654,-0.6992889905293673,6.378453021955408,0.9997522470119262
Virat Kohli,2026-06-05,Eden Gardens Clay,High,106.4482728761132,10.809372937398852,-0.9261556451932851,2.3475166296863548,0.560318173853879
Virat Kohli,2026-06-05,Wankhede Red Soil,Low,114.81978887834731,12.92567734964464,-0.7618821986135154,6.567685823866188,1.0176505651239456
Virat Kohli,2026-06-05,Eden Gardens Clay,High,114.3136977250607,14.508905457691558,-0.5081436474574501,6.649531755863657,0.5818767728360534
Virat Kohli,2026-06-05,Wankhede Red Soil,Low,113.31410381517514,13.028366429739005,0.3802977696051814,5.405376628944975,0.8708905943967914
Virat Kohli,2026-06-05,Chepauk Black Soil,Low,112.7360449906567,12.02822469993292,-0.738925322324861,3.4745501784828554,0.6069230071685641
Virat Kohli,2026-06-05,Eden Gardens Clay,High,104.85096953702214,9.725372252481431,0.8079342290916909,6.506831557970393,0.8574623614365253
Virat Kohli,2026-06-05,Chepauk Black Soil,High,112.49181054302392,12.863442875997197,-1.1955115660008049,6.453504611946975,0.48325336076210784
Virat Kohli,2026-06-05,Wankhede Red Soil,High,97.20076865864432,11.169579054169503,-0.09903856700939109,2.189276099711836,0.901119093658415
Virat Kohli,2026-06-05,Eden Gardens Clay,High,110.49819609771835,8.196770922221463,-0.3817299074686702,6.693971681462176,0.5166228662907417
Virat Kohli,2026-06-05,Wankhede Red Soil,High,95.30989454953801,11.74307015609378,0.28263829366160814,2.7212930497472647,0.7179190728827141
Virat Kohli,2026-06-05,Eden Gardens Clay,High,102.96382511428598,11.532764534337648,-0.31403821874831994,5.243998516142778,0.9270426853048008
Virat Kohli,2026-06-05,Eden Gardens Clay,Low,112.07050889491651,12.107306424362289,-0.15886006444918244,6.8385660683909375,0.5631056898045066
Virat Kohli,2026-06-05,Chepauk Black Soil,High,115.08613971934987,8.386371307848254,1.2875184984011392,4.31688484383535,0.6811419455990894
Virat Kohli,2026-06-05,Chepauk Black Soil,Low,111.31139438349177,8.690174774875139,-0.7929587381038246,3.8826721353079865,0.5390802705972014
Virat Kohli,2026-06-05,Chepauk Black Soil,Low,112.75490582543489,13.65924143823297,-0.8541941960093313,4.9963831452941845,0.6887489580903902
Virat Kohli,2026-06-05,Wankhede Red Soil,High,109.23769993337945,9.04542149132468,-0.5119118348458376,4.0529837861205085,0.867714775261911
Virat Kohli,2026-06-05,Chepauk Black Soil,Low,102.41296301306556,8.12833514738389,-0.42363431619877717,1.9303392806613937,0.721739063460111
Virat Kohli,2026-06-05,Wankhede Red Soil,Low,115.17595262322246,10.060135982660555,-0.2811654046941682,2.495457679995684,1.1482960891169702
Virat Kohli,2026-06-05,Wankhede Red Soil,High,99.2698652390973,8.237946206762237,0.3628610845834297,2.149807530414272,0.8586745099946499
Virat Kohli,2026-06-05,Chepauk Black Soil,Low,104.457596770994,12.297199314956405,0.09906146892112977,6.029211410419938,0.7868488678987938
Virat Kohli,2026-06-05,Eden Gardens Clay,High,96.34157935832931,9.975370910865024,-0.2015355979678073,3.7158475653162113,0.5710575224399803
Virat Kohli,2026-06-05,Chepauk Black Soil,High,108.14593671753526,8.63888060971511,-0.7798299889985945,3.654326667900551,0.8086956253644512
Virat Kohli,2026-06-05,Eden Gardens Clay,High,108.03365975738971,14.535608873515308,0.382032040310494,2.6839889852391723,0.9224674376975117
Virat Kohli,2026-06-05,Eden Gardens Clay,High,111.04517890271862,10.699300352132404,0.18362638515388974,2.11263537669963,0.8534907951466657
Virat Kohli,2026-06-05,Eden Gardens Clay,Low,109.73347039416377,12.87710569433245,0.23397493752053222,1.7960391387705201,0.7201466038585808
Virat Kohli,2026-06-05,Wankhede Red Soil,Low,107.86218098027767,9.397391927831075,0.1130428818486859,6.019709107004683,0.756891267584386
Virat Kohli,2026-06-05,Wankhede Red Soil,Low,110.92955986278514,9.864628909038144,0.0037158819291502002,2.8743788160725456,0.78622159969808
Virat Kohli,2026-06-05,Chepauk Black Soil,Low,116.17366128132844,14.118446295265835,0.6650460196701673,5.083871721633939,0.8133346204073251
Virat Kohli,2026-06-05,Eden Gardens Clay,Low,107.85468390027053,12.863001010635585,-0.946514780330092,5.163709051080335,0.6078590486649806
Virat Kohli,2026-06-05,Eden Gardens Clay,Low,115.98058640368883,9.000481189407145,0.9805885254753601,1.8769783573087309,0.5846262098528444
